chapter,section,topic,total,concept,formula,transform_pair,error_discrimination
1,1.1,连续离散信号与能量功率,5,3,0,0,2
1,1.2,自变量变换周期奇偶,7,4,1,0,2
1,1.3,指数与正弦信号,4,3,0,0,1
1,1.4,单位冲激与单位阶跃,5,3,1,0,1
1,1.5-1.6,系统与基本系统性质,9,5,0,0,4
2,2.1,离散时间LTI与卷积和,8,2,2,0,4
2,2.2,连续时间LTI与卷积积分,12,2,2,0,8
2,2.3,LTI系统性质,12,5,2,0,5
2,2.4,微分方程差分方程描述LTI,8,2,2,0,4
2,2.5,奇异函数,5,1,0,0,4
3,3.2,LTI对复指数响应,5,2,1,0,2
3,3.3,CTFS表示与系数,13,2,4,4,3
3,3.4,傅里叶级数收敛,4,2,0,0,2
3,3.5,CTFS性质,14,1,5,3,5
3,3.6,DTFS表示,10,2,2,4,2
3,3.7,DTFS性质,4,0,1,0,3
3,3.8,FS与LTI系统,9,1,3,2,3
3,3.9-3.11,滤波与方程描述滤波器,6,0,1,0,5
4,4.1,非周期信号与CTFT,14,2,3,5,4
4,4.2,周期信号的傅里叶变换,10,1,2,3,4
4,4.3,CTFT性质,24,2,8,4,10
4,4.4,卷积性质,10,1,2,3,4
4,4.5,相乘性质,9,1,2,2,4
4,4.6,性质与基本变换对表,16,0,3,10,3
4,4.7,常系数微分方程系统,2,1,0,0,1
5,5.1,非周期序列与DTFT,15,2,3,6,4
5,5.2,周期序列的傅里叶变换,8,1,1,3,3
5,5.3,DTFT性质,22,2,7,3,10
5,5.4,卷积性质,9,1,2,2,4
5,5.5,相乘性质,8,1,2,2,3
5,5.6,性质与基本变换对表,14,1,2,6,5
5,5.7,对偶性,2,1,0,0,1
5,5.8,差分方程表征系统,2,1,1,0,0
